Date,Demand,Hour,Weekday,Price
2018-07-10,816,11,Weekday,34.13
2018-07-10,797.76,12,Weekday,38.11
2018-07-10,839.04,13,Weekday,40.78
2018-07-10,870.72,14,Weekday,52.84
2018-07-10,841.92,15,Weekday,110.44
2018-07-10,840.96,16,Weekday,44.7
2018-07-10,802.56,17,Weekday,67.98
2018-07-10,663.36,18,Weekday,53.66
2018-07-10,504,19,Weekday,40.78
2018-07-10,387.84,20,Weekday,39.84
2018-07-10,319.68,21,Weekday,37.24
2018-07-10,254.4,22,Weekday,29.92
2018-07-10,225.6,23,Weekday,26.35
2018-07-11,195.84,0,Weekday,23.53
2018-07-11,193.92,1,Weekday,22.66
2018-07-11,190.08,2,Weekday,20.46
2018-07-11,189.12,3,Weekday,19.77
2018-07-11,184.32,4,Weekday,19.82
2018-07-11,189.12,5,Weekday,21.03
2018-07-11,190.08,6,Weekday,24.17
2018-07-11,229.44,7,Weekday,68.48
2018-07-11,377.28,8,Weekday,26.96
2018-07-11,596.16,9,Weekday,27.26
2018-07-11,826.56,10,Weekday,31.44
2018-07-11,865.92,11,Weekday,31.05
2018-07-11,847.68,12,Weekday,34.47
2018-07-11,885.12,13,Weekday,32.35
2018-07-11,960,14,Weekday,102.56
2018-07-11,957.12,15,Weekday,55.66
2018-07-11,923.52,16,Weekday,43.9
2018-07-11,901.44,17,Weekday,49.2
2018-07-11,790.08,18,Weekday,57.3
2018-07-11,547.2,19,Weekday,30.25
2018-07-11,430.08,20,Weekday,29.31
2018-07-11,317.76,21,Weekday,30.92
2018-07-11,280.32,22,Weekday,26.1
2018-07-11,245.76,23,Weekday,24.87
2018-07-12,216.96,0,Weekday,23.15
2018-07-12,216.96,1,Weekday,21.09
2018-07-12,208.32,2,Weekday,19.65
2018-07-12,192.96,3,Weekday,18.93
2018-07-12,191.04,4,Weekday,18.75
2018-07-12,193.92,5,Weekday,19.57
2018-07-12,189.12,6,Weekday,20.83
2018-07-12,229.44,7,Weekday,24.12
2018-07-12,420.48,8,Weekday,25.86
2018-07-12,648,9,Weekday,29.12
2018-07-12,901.44,10,Weekday,33.69
2018-07-12,896.64,11,Weekday,34.62
2018-07-12,870.72,12,Weekday,35.6
2018-07-12,877.44,13,Weekday,37.37
2018-07-12,926.4,14,Weekday,41.02
2018-07-12,908.16,15,Weekday,39.79
2018-07-12,903.36,16,Weekday,39.05
2018-07-12,894.72,17,Weekday,42.66
2018-07-12,746.88,18,Weekday,35.37
2018-07-12,579.84,19,Weekday,34.1
2018-07-12,431.04,20,Weekday,35.62
2018-07-12,338.88,21,Weekday,32.81
2018-07-12,273.6,22,Weekday,29.05
2018-07-12,238.08,23,Weekday,25.03
2018-07-13,197.76,0,Weekday,21.87
2018-07-13,194.88,1,Weekday,20.84
2018-07-13,188.16,2,Weekday,19.74
2018-07-13,183.36,3,Weekday,18.89
2018-07-13,178.56,4,Weekday,18.64
2018-07-13,178.56,5,Weekday,19.85
2018-07-13,176.64,6,Weekday,21.07
2018-07-13,219.84,7,Weekday,23.2
2018-07-13,356.16,8,Weekday,25.42
2018-07-13,642.24,9,Weekday,31.39
2018-07-13,856.32,10,Weekday,42.54
2018-07-13,934.08,11,Weekday,29.53
2018-07-13,840.96,12,Weekday,37.42
2018-07-13,891.84,13,Weekday,34.72
2018-07-13,991.68,14,Weekday,41.95
2018-07-13,936,15,Weekday,50.88
2018-07-13,965.76,16,Weekday,55.23
2018-07-13,943.68,17,Weekday,59.36
2018-07-13,770.88,18,Weekday,47.77
2018-07-13,511.68,19,Weekday,33.18
2018-07-13,358.08,20,Weekday,33.45
2018-07-13,281.28,21,Weekday,31.53
2018-07-13,248.64,22,Weekday,32.31
2018-07-13,240.96,23,Weekday,26.52
2018-07-14,204.48,0,Weekend,22.67
2018-07-14,186.24,1,Weekend,21.52
2018-07-14,173.76,2,Weekend,19.78
2018-07-14,170.88,3,Weekend,19
