Year,Month,Day,Hour,Demand,Price,Weekday
2017,7,10,21,748.16069228934,29.73,1
2017,7,10,22,801.3894058096301,25.64,1
2017,7,10,23,814.74151539539,22.5,1
2017,7,11,0,757.5142915689,19.95,1
2017,7,11,1,757.4819958021,20.32,1
2017,7,11,2,753.8061201058999,19.22,1
2017,7,11,3,585.2316423771001,18.6,1
2017,7,11,4,421.9742522822,18.71,1
2017,7,11,5,277.1785170012199,20.37,1
2017,7,11,6,180.88949146166,21.31,1
2017,7,11,7,116.32476725226,23.36,1
2017,7,11,8,114.83381036502,25.6,1
2017,7,11,9,112.94761816285,26.17,1
2017,7,11,10,123.28776587091,27.14,1
2017,7,11,11,156.03356158214,29.54,1
2017,7,11,12,203.85767197951,32.7,1
2017,7,11,13,170.81851890317998,31.68,1
2017,7,11,14,130.29086512290002,38.02,1
2017,7,11,15,123.68048468243,41.51,1
2017,7,11,16,125.72922259833,40.46,1
2017,7,11,17,187.69411160261,35.560001,1
2017,7,11,18,325.33775161213,36.89,1
2017,7,11,19,488.2226544449299,31.83,1
2017,7,11,20,609.75902247773,30.28,1
2017,7,11,21,725.7980451471401,31.06,1
2017,7,11,22,852.4061690858301,26.009999,1
2017,7,11,23,864.32557261199,24.3,1
2017,7,12,0,840.1185631229,22.92,1
2017,7,12,1,842.1127422950999,20.95,1
2017,7,12,2,842.5958714651001,18.999999,1
2017,7,12,3,666.878295117,18.58,1
2017,7,12,4,529.4288236445001,19.17,1
2017,7,12,5,388.69569452454,20.95,1
2017,7,12,6,314.72586539924004,22.49,1
2017,7,12,7,254.70108165334,22.409999,1
2017,7,12,8,228.03303219328,23.289999,1
2017,7,12,9,189.41275795536995,24.91,1
2017,7,12,10,187.61109451045,26.86,1
2017,7,12,11,210.22284584622,27.8,1
2017,7,12,12,286.08466432659,28.64,1
2017,7,12,13,294.66977980803995,29.84,1
2017,7,12,14,392.3754383895,33.24,1
2017,7,12,15,568.9099184488299,33.77,1
2017,7,12,16,625.7930441551299,38.73,1
2017,7,12,17,781.0552318806301,44.1,1
2017,7,12,18,935.03739898943,39.86,1
2017,7,12,19,995.9582787174302,40.39,1
2017,7,12,20,1027.47336210013,39.7,1
2017,7,12,21,1099.07225828974,41.52,1
2017,7,12,22,1142.1610059082302,28.96,1
2017,7,12,23,1192.5104054661902,25.62,1
2017,7,13,0,1126.9129588577002,22.69,1
2017,7,13,1,1052.7258393543,22.72,1
2017,7,13,2,998.5908102569,21.53,1
2017,7,13,3,785.2567099685,20.18,1
2017,7,13,4,595.220261629,20.24,1
2017,7,13,5,411.66205190364,21.78,1
2017,7,13,6,301.14806230364,23.34,1
2017,7,13,7,236.08474129102,25.82,1
2017,7,13,8,198.81618262045995,26.92,1
2017,7,13,9,163.15212165789,29.670001,1
2017,7,13,10,150.97576415572996,32.0,1
2017,7,13,11,156.03356158214,50.56,1
2017,7,13,12,203.85767197951,38.6,1
2017,7,13,13,242.04649760936,43.39,1
2017,7,13,14,315.3471064915,54.190001,1
2017,7,13,15,534.5361781672299,38.21,1
2017,7,13,16,597.77827826453,42.68,1
2017,7,13,17,739.21924240783,37.69,1
2017,7,13,18,881.7285143234301,39.88,1
2017,7,13,19,1054.4527791194305,41.62,1
2017,7,13,20,1167.24177528753,37.04,1
2017,7,13,21,1244.53675524674,32.45,1
2017,7,13,22,1365.8055065350302,27.289999,1
2017,7,13,23,1244.9004415865902,24.38,1
