Year,Month,Day,Hour,Demand,Tariff,Weekday
2017,7,20,2,1219.921466,22.160001,1
2017,7,20,3,1029.545679,21.179999,1
2017,7,20,4,812.9138754,21,1
2017,7,20,5,641.7500334,22.89,1
2017,7,20,6,548.3154002,24.8,1
2017,7,20,7,455.7231002,28.59,1
2017,7,20,8,375.3204184,32.58,1
2017,7,20,9,339.5043124,33.91,1
2017,7,20,10,332.8700704,41.48,1
2017,7,20,11,359.4656534,36.99,1
2017,7,20,12,413.1922724,60.57,1
2017,7,20,13,405.4744153,67.81,1
2017,7,20,14,498.4942197,64.57,1
2017,7,20,15,632.9700641,53.7,1
2017,7,20,16,705.5107823,72.6,1
2017,7,20,17,870.3392824,86.06,1
2017,7,20,18,1012.691341,78.219999,1
2017,7,20,19,1076.710355,40.51,1
2017,7,20,20,1180.791716,39.260001,1
2017,7,20,21,1300.489308,41.29,1
2017,7,20,22,1341.218502,33.76,1
2017,7,20,23,1196.029475,30.08,1
2017,7,21,0,1027.141201,25.91,1
2017,7,21,1,948.8541916,24.47,1
2017,7,21,2,876.1600234,22.89,1
2017,7,21,3,659.5152972,21.94,1
2017,7,21,4,454.6820861,21.650001,1
2017,7,21,5,269.2669646,23.55,1
2017,7,21,6,179.4036591,24.73,1
2017,7,21,7,119.2515081,27.54,1
2017,7,21,8,116.3929942,30.040001,1
2017,7,21,9,115.8705868,29.86,1
2017,7,21,10,127.9658188,34.24,1
2017,7,21,11,167.9302793,34.44,1
2017,7,21,12,227.1581748,35.5,1
2017,7,21,13,206.9620447,51.87,1
2017,7,21,14,179.8540611,41.45,1
2017,7,21,15,240.7915318,48.81,1
2017,7,21,16,351.6659483,51.440001,1
2017,7,21,17,509.7014039,67.08,1
2017,7,21,18,632.0596745,68.6,1
2017,7,21,19,785.369257,48.15,1
2017,7,21,20,858.4564666,55.830001,1
2017,7,21,21,953.0412202,59.39,1
2017,7,21,22,1094.008062,33.74,1
2017,7,21,23,1062.558159,27.35,1
2017,7,22,0,993.2146536,24.89,0
2017,7,22,1,920.1188378,23.99,0
2017,7,22,2,853.5635675,23.670001,0
2017,7,22,3,664.69929,22.469999,0
2017,7,22,4,454.4970028,21.44,0
2017,7,22,5,263.7061521,22.07,0
2017,7,22,6,134.8179483,21.85,0
2017,7,22,7,119.2515081,23.66,0
2017,7,22,8,116.3929942,25.06,0
2017,7,22,9,115.8705868,27.24,0
2017,7,22,10,127.9658188,28.98,0
2017,7,22,11,167.9302793,43.400001,0
2017,7,22,12,227.1581748,50.72,0
2017,7,22,13,206.9620447,34.569999,0
2017,7,22,14,179.8540611,47.700001,0
2017,7,22,15,203.3635237,39.5,0
2017,7,22,16,307.1256908,41.079999,0
2017,7,22,17,430.9523683,48.18,0
2017,7,22,18,576.0137301,34.139999,0
2017,7,22,19,720.3888274,31.68,0
2017,7,22,20,841.4559148,31.87,0
2017,7,22,21,978.4672531,34.26,0
2017,7,22,22,1125.613803,27.18,0
2017,7,22,23,1085.085148,25.01,0
2017,7,23,0,1024.858243,22.86,0
2017,7,23,1,948.6290741,22.78,0
2017,7,23,2,904.1011559,22.4,0
2017,7,23,3,703.1605716,21.85,0
2017,7,23,4,511.251853,20.8,0
2017,7,23,5,326.3955403,20.26,0
2017,7,23,6,215.6001289,19.85,0
2017,7,23,7,159.1261846,21.61,0
2017,7,23,8,123.7525381,23.79,0
2017,7,23,9,115.8705868,24.74,0
2017,7,23,10,127.9658188,27.92,0
2017,7,23,11,167.9302793,31.3,0
2017,7,23,12,227.1581748,33.97,0
2017,7,23,13,206.9620447,30.4,0
2017,7,23,14,218.5352036,34.649999,0
2017,7,23,15,376.6095008,36.360001,0
2017,7,23,16,502.8607872,52.53,0
2017,7,23,17,686.2613278,29.400001,0
2017,7,23,18,850.7063064,31.680001,0
2017,7,23,19,1032.752749,32.14,0
2017,7,23,20,1157.751204,28.560001,0
2017,7,23,21,1312.330159,27.150001,0
2017,7,23,22,1418.366617,24.37,0
2017,7,23,23,1339.518349,23.3,0
2017,7,24,0,1207.538917,22.7,1
2017,7,24,1,1165.634394,21.51,1
2017,7,24,2,1071.639691,19.44,1
2017,7,24,3,887.5690115,18.46,1
2017,7,24,4,660.861394,19.28,1
2017,7,24,5,487.4374561,20.85,1
2017,7,24,6,390.9187228,23.09,1
2017,7,24,7,297.0285076,23.37,1
2017,7,24,8,269.7853537,23.96,1
2017,7,24,9,231.4880009,26.28,1
2017,7,24,10,219.8170133,26.8,1
2017,7,24,11,220.3553587,26.819999,1
2017,7,24,12,299.0461554,28.07,1
2017,7,24,13,296.6409449,29.83,1
2017,7,24,14,365.250624,36.62,1
2017,7,24,15,551.1517689,37.57,1
2017,7,24,16,657.5057484,39.01,1
2017,7,24,17,892.6574215,36.76,1
2017,7,24,18,1042.685633,29.86,1
2017,7,24,19,1134.644388,26.19,1
2017,7,24,20,1314.987323,25.28,1
2017,7,24,21,1477.004195,24.28,1
2017,7,24,22,1507.860511,22.420001,1
2017,7,24,23,1474.699949,19.89,1
2017,7,25,0,1331.360981,20.53,1
2017,7,25,1,1281.212023,20.539999,1
2017,7,25,2,1176.96624,19.48,1
2017,7,25,3,942.8183301,18.649999,1
2017,7,25,4,753.5777573,18.9,1
2017,7,25,5,548.180842,20.22,1
2017,7,25,6,428.1299203,19.51,1
2017,7,25,7,360.4512069,21.66,1
2017,7,25,8,333.0233467,22.55,1
2017,7,25,9,293.1962943,22.759999,1
2017,7,25,10,281.369362,25.309999,1
2017,7,25,11,302.6144137,27.74,1
2017,7,25,12,400.1048569,34.999999,1
2017,7,25,13,445.9685408,29.650001,1
2017,7,25,14,518.2898584,50.72,1
2017,7,25,15,711.0353199,36.269999,1
2017,7,25,16,859.1359926,55.04,1
2017,7,25,17,1052.50624,28.690001,1
2017,7,25,18,1200.647928,35.98,1
2017,7,25,19,1279.079872,33.56,1
2017,7,25,20,1379.866961,27.17,1
2017,7,25,21,1485.211017,26.360001,1
2017,7,25,22,1530.395182,21.02,1
2017,7,25,23,1510.278501,18.96,1
2017,7,26,0,1326.117098,16.4,1
2017,7,26,1,1172.824693,16.02,1
2017,7,26,2,1067.968062,17.200001,1
2017,7,26,3,837.5820083,15.050001,1
2017,7,26,4,600.8348171,16.99,1
2017,7,26,5,415.1181844,19.97,1
2017,7,26,6,288.7281561,20.35,1
2017,7,26,7,174.7629122,20.82,1
2017,7,26,8,131.3823141,20.94,1
2017,7,26,9,115.8705868,23.71,1
2017,7,26,10,127.9658188,27.03,1
2017,7,26,11,167.9302793,31.760001,1
2017,7,26,12,227.1581748,57.16,1
2017,7,26,13,206.9620447,104.48,1
2017,7,26,14,232.3535128,35.07,1
2017,7,26,15,376.6751004,74.260001,1
2017,7,26,16,535.4947223,39.660001,1
2017,7,26,17,746.9638698,36.06,1
2017,7,26,18,865.1844373,36.65,1
2017,7,26,19,1054.731586,28.36,1
2017,7,26,20,1240.120182,37.95,1
2017,7,26,21,1348.865773,48.82,1
2017,7,26,22,1442.923456,23.900001,1
2017,7,26,23,1358.863939,23.319999,1
2017,7,27,0,1219.97638,20.81,1
